
 Lista de Imóveis da Caixa;;Data de geração:;21/07/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Financiamento;Descrição;Modalidade de venda;Link de acesso

 1444408501866 ;SP ;ADAMANTINA ;VILA JOAQUINA ;ALAMEDA PADRE ANCHIETA, N. 1159, LT 05 QD 16 ;501.000,00;501.000,00;0.00;Não;Casa, 0.00 de área total, 171.43 de área privativa, 384.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444408501866
 10290972 ;SP ;AGUAS DA PRATA ;RESIDENCIAL BOA VISTA I ;RUA SEBASTIAO ALVES, N. 00, QD D, LT 01 ;137.000,00;137.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 269.78 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10290972
 8444421916142 ;SP ;AGUAS DE SANTA BARBARA ;CENTRO ;AVENIDA JOSE COSTA, N. 1640, QD 13 LT 13 ;83.135,75;142.000,00;41.46;Não;Casa, 40.17 de área total, 40.17 de área privativa, 125.00 de área do terreno,  1 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421916142
 1444413926276 ;SP ;AGUAS DE SANTA BARBARA ;PARQUE DOS LAGOS ;AVENIDA RIO IGUAPE, N. 90, LT 21 QD 14 ;135.326,01;215.000,00;37.06;Não;Prédio, 78.55 de área total, 78.55 de área privativa, 1120.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 2 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413926276
 8787713989126 ;SP ;ALTINOPOLIS ;RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP ;RUA HENRIQUE DE FIGUEIREDO DOBERMANN, N. 225, LT 51 QD 14 ;86.063,06;147.000,00;41.46;Não;Casa, 47.75 de área total, 47.75 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787713989126
 8787714943618 ;SP ;ALTINOPOLIS ;RESIDENCIAL E COMERCIAL FIGUEIREDO FELIP ;RUA HENRIQUE DE FIGUEIREDO DOBERMANN, N. 75, 1466 ;97.778,11;165.000,00;40.75;Não;Casa, 47.75 de área total, 47.75 de área privativa, 140.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714943618
 10006343 ;SP ;ALVARES MACHADO ;BREJÃO ;ESTRADA VICINAL, N. SN, GLEBA 05, RANCHO S.R. STELLA ;535.852,68;1.150.000,00;53.41;Não;Imóvel rural, 0.00 de área total, 886.00 de área privativa, 20000.00 de área do terreno, WC, 1 sala(s).;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10006343
 8444426871104 ;SP ;ALVARES MACHADO ;PARQUE RESIDENCIAL UNIAO ;RUA JOAO DE AZEVEDO SOARES, N. 77, LOTE 15B QUADRA O ;36.016,46;62.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 125.00 de área do terreno.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426871104
 8444425904823 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA INGLES DE SOUZA, N. 674, QD L1, LT 18 ;33.692,81;58.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425904823
 8444435719999 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA INGLES DE SOUZA, N. 1037, LT 09-C QD X1 ;31.369,17;54.000,00;41.91;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 147.33 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444435719999
 10283580 ;SP ;ALVARES MACHADO ;RESIDENCIAL MARCIA FERNANDES ;PROF MARIA HELENA FERNANDES ARAUJO, N. SN, QD E, LT 19 ;57.373,12;95.000,00;39.61;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 240.00 de área do terreno.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10283580
 8444433250497 ;SP ;ALVARES MACHADO ;JARDIM PANORAMA ;RUA MANOEL BANDEIRA, N. 158, LT 04B QD K ;175.000,00;175.000,00;0.00;Não;Casa, 55.45 de área total, 55.45 de área privativa, 126.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433250497
 8444426889550 ;SP ;ALVARES MACHADO ;PARQUE DOS PINHEIROS ;RUA GONCALVES DIAS, N. 683, LOTE 7-B QUADRA H ;148.775,14;90.000,00;0.00;Não;Terreno, 0.00 de área total, 0.00 de área privativa, 126.00 de área do terreno.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426889550
 8444416842683 ;SP ;AMERICANA ;JARDIM BRASIL ;AVENIDA ANTONIO CENTURIONE BOER, N. 1518, Apto 302, BL3 ;100.350,93;185.000,00;45.76;Sim;Apartamento, 0.00 de área total, 50.73 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444416842683
 8444411875761 ;SP ;AMERICANA ;JARDIM DA BALSA II ;RUA RIO PIQUIRI, N. 194, LT 42-A, QD 17 ;137.483,13;246.000,00;44.12;Não;Casa, 77.84 de área total, 77.84 de área privativa, 107.93 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444411875761
 8787707101496 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 107, TÉRREO, BL 22, GLEBA A3B, VAGA 373 ;82.550,28;141.000,00;41.46;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707101496
 8555536142974 ;SP ;AMERICANA ;JARDIM SANTA ELIZA ;AVENIDA ANTONIO CENTURIONE BOER, N. 540, Apto 111, BL 02, VG 119 ;152.253,27;260.000,00;41.45;Não;Apartamento, 0.00 de área total, 51.76 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555536142974
 8787707633943 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 208, BL 14 ;104.296,65;176.000,00;40.75;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707633943
 8787702986902 ;SP ;AMERICANA ;JARDIM DOS LIRIOS ;RUA UIRAPURU, N. 445, Apto 31, 3º PAV, BL E, VAGA 104 ;101.274,42;170.900,00;40.75;Não;Apartamento, 67.27 de área total, 50.10 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787702986902
 8787714750437 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZÉ PULGA, N. 420, Apto 14, 1º PAV, BL B ;137.201,86;227.000,00;39.56;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714750437
 8787715554828 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZÉ PULGA, N. 420, Apto 05, BL B ;139.015,11;230.000,00;39.56;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787715554828
 8787714119583 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CS 04 ;168.383,74;275.000,00;38.77;Não;Casa, 113.91 de área total, 69.37 de área privativa, 36.96 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714119583
 8787714426800 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CS 208 ;159.199,17;260.000,00;38.77;Não;Casa, 127.36 de área total, 71.12 de área privativa, 38.71 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787714426800
 8787718417376 ;SP ;AMERICANA ;BAIRRO PACAEMBU ;RUA MARIA AMELIA SANTOS STEFANI, N. 350, CASA 142 ;156.749,95;256.000,00;38.77;Não;Casa, 112.50 de área total, 55.97 de área privativa, 37.49 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), 1 lavabo(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787718417376
 8787717266056 ;SP ;AMERICANA ;BALSA ;RUA JOSE ANTONIO RODRIGUES - ZE PULGA, N. 420, Apto 21, 2º PAV BL E ;146.953,08;240.000,00;38.77;Não;Apartamento, 73.43 de área total, 49.22 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717266056
 1444413103369 ;SP ;AMERICANA ;LOTEAMENTO INDUSTRIAL MACHADINHO ;RUA ANGELO ORTOLAN, N. 150, Apto 401, PV 03 BL 29 VG 341 ;133.437,74;212.000,00;37.06;Não;Apartamento, 77.74 de área total, 45.95 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444413103369
 8555534120086 ;SP ;AMERICANA ;CENTRO ;RUA DOM PEDRO II, N. 255, Apto 53A, BL A BOX 33 ;290.000,00;290.000,00;0.00;Não;Apartamento, 77.09 de área total, 52.50 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555534120086
 8787707125174 ;SP ;AMERICANA ;MORADA DO SOL ;AVENIDA SAO JERONIMO, N. 2750, Apto 103, BL 25 ;189.000,00;189.000,00;0.00;Não;Apartamento, 90.58 de área total, 38.92 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707125174
 8444433330440 ;SP ;AMERICANA ;JARDIM BELA VISTA ;RUA DO FLAMENGO, N. 311, Apto 121, BL E BOX 191 ;248.688,93;248.688,93;0.00;Não;Apartamento, 86.84 de área total, 58.19 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444433330440
 1444407992556 ;SP ;AMERICANA ;PARQUE GRAMADO ;RUA JOÃO MARTINS MILENA, N. 221, LOTE 2-B DA QUADRA 31 ;265.000,00;265.000,00;0.00;Não;Casa, 143.80 de área total, 143.80 de área privativa, 150.00 de área do terreno,  3 qto(s), a.serv, WC, 1 sala(s), cozinha.;Leilão SFI - Edital Único;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=1444407992556
