ID IMOVEL;MODALIDADE;TIPO IMOVEL;ESTADO;CIDADE;ENDERECO;VALOR AVALIAÇÃO;VALOR DE VENDA;DESCONTO;ACEITA FINANCIAMENTO;ACEITA FGTS;DESCRICAO;DATA LEILÃO;LINK
10003948;Licitação Aberta;Comercial;GO;CAIAPONIA;AV PLINIO GAYER,N. S/N QD 24 LT 16, ST. NOVA CAIAPONIA;R$ 475.000,00;R$ 239.276,17;49,62%;NAO;NAO;2 Wc, Sala, Cozinha. Possui Aproximadamente 154,60m² de Área Construída;02/08/2026 01:35;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10003948
10003975;2° Leilão;Terreno;SC;COCAL DO SUL;AVENIDA DOUTOR POLIDORO SANTIAGO,N. 482 40M;R$ 375.000,00;R$ 935.122,30;0,00%;NAO;NAO;Conforme Cadastro Municipal, Imóvel Está Localizado na Av. Pe;20/07/2026 05:52;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10003975
10004061;Licitação Aberta;Comercial;SP;JACAREI;AVENIDA CARLOS DRUMMOND DE ANDRADE,N. 876;R$ 999.000,00;R$ 503.235,56;49,62%;SIM;NAO;2 Wc, Sala, 1 vaga na garagem. Atu 441144261005700000. Matrícula 20982;02/08/2026 04:42;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10004061
10005120;Venda Direta Online;Casa;AC;CRUZEIRO DO SUL;RUA DO PURUS,N. S/N QUARTEIRAO 272 LOTE 10;R$ 150.000,00;R$ 60.804,46;59,46%;NAO;NAO;5 Quartos, 1 Vaga na Garagem, Varanda/sacada, Area de Serviço, 2 Wc, Sala, Cozinha. Possui 120,5m² de área construída;02/08/2026 01:15;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10005120
10006164;Venda Direta Online;Casa;RJ;RIO DE JANEIRO;ESTRADA DO ENGENHO,N. 350 BL 54, CS 02, BANGU;R$ 488.198,92;R$ 233.628,73;52,14%;NAO;NAO;3 Quartos, 1 Vaga na Garagem, Area de Serviço, 2 Wc, Sala, Cozinha;02/08/2026 03:26;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10006164
10007630;Venda Direta Online;Imóvel rural;PA;ANAJAS;FAZENDA SAO JOSE MARGEM DIREITA RIO ANAJAS,N.;R$ 4.440.000,00;R$ 2.012.942,24;54,66%;NAO;NAO;Area 3.339ha06a38 Ccir 950203228001-1;02/08/2026 02:23;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10007630
10007789;2° Leilão;Apartamento;SP;SAO PAULO;BARAO DE LIMEIRA,N. 1151 APTO. 62, CAMPOS ELISEOS;R$ 339.000,00;R$ 3.299.005,96;0,00%;NAO;NAO;Quarto, Area de Serviço, Wc, Sala, Cozinha. Possui 38,71m² de área privativa;02/08/2026 04:56;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10007789
10008320;2° Leilão;Terreno;RS;GRAMADO;RUA LADEIRA DAS AZALEIAS,N. 453 APTO. 201 LT 01;R$ 58.338,42;R$ 2.144.285,85;0,00%;NAO;NAO;Avaliado Somente Parte do Terreno de Propriedade da Caixa;02/08/2026 04:19;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10008320
10011968;Venda Direta Online;Comercial;PR;COLOMBO;AV PREFEITO JOAO BATISTA STOCCO,N. 1590 LT 01 QD;R$ 4.880.000,00;R$ 2.458.247,78;49,62%;NAO;NAO;Existe Area Não Averbada de Ampliação do Imóvel Com Possível Ocupação;02/08/2026 02:55;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10011968
10014744;Venda Online;Apartamento;SP;PELOTAS;RUA ALFREDO SATTE ALAM,N. 1150 QD 49, LT 06, TRES;R$ 850.000,00;R$ 383.253,23;54,91%;SIM;SIM;3 Quartos, 2 Vagas na Garagem, Area de Serviço, 4 Wc, Sala, Cozinha. Possui 95,3m² de área privativa;05/08/2026 18:00;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=10014744
